Model,HR
Most Popular HR@10,0.00765787136722504
Item-KNN HR@10,0.012314027468583871
Most Popular HR@20,0.013202072917046823
Item-KNN HR@20,0.017989002834446433
Most Popular HR@50,0.02406846465457465
Item-KNN HR@50,0.029372407333065703
